<s>	<s>	1	0
政権	せいけん	3816b	9
っす	っす	5378	f
瞬間	しゅんかん	44caf	f
経済	けいざい	47e81	f
表現	ひょうげん	4c5fb	f
想像	そうぞう	3530b	f
伝え	つたえ	2336d	f
にくい	にくい	652a	b
監督	かんとく	44286	f
死ん	しん	3d846	9
そ	そ	48a0	f
同時	どうじ	29f96	f
販売	はんばい	4ecff	f
ホーム	ほーむ	1aa51	b
暇	ひま	39e9b	f
体験	たいけん	2398d	b
意見	いけん	353bf	f
街	まち	4c4e8	f
共	とも	256a9	f
フォロー	ふぉろー	18da3	b
動画	どうが	277df	f
迎え	むかえ	5031a	f
来週	らいしゅう	3b2d2	f
じゃあ	じゃあ	41c2	f
努力	どりょく	275e8	f
自体	じたい	4a082	f
ドラマ	どらま	15a8f	f
ど	ど	5fad	b
精神	せいしん	475e3	b
隣	となり	53aea	b
満足	まんぞく	40661	b
人々	ひとびと	223ec	f
ネイル	ねいる	163fb	f
パパ	ぱぱ	179a3	f
だし	だし	500d	f
代表	だいひょう	22cdf	f
苦手	にがて	4adfa	9
変更	へんこう	2cb77	f
技術	ぎじゅつ	36421	f
クリスマス	くりすます	eb13	f
始まっ	はじまっ	2e848	f
相談	そうだん	446cf	f
自由	じゆう	4a231	f
知り	しり	44dd7	f
じゃん	じゃん	41fc	9
事故	じこ	21ba7	9
学生	がくせい	2ed78	f
なか	なか	6157	f
部	ぶ	51852	f
量	りょう	520a6	f
一応	いちおう	1f4de	f
タイム	たいむ	134af	f
長く	ながく	52b4b	f
注意	ちゅうい	3efed	f
長	なが	52b34	f
失敗	しっぱい	2e1ab	9
急	きゅう	34b97	f
席	せき	321ad	f
事実	じじつ	21b95	f
少なく	すくなく	30b7f	f
ええ	ええ	1226	f
始まり	はじまり	2e84a	f
ッ	っ	14327	8
カレー	かれー	d6d7	f
でしょ	でしょ	5ace	f
あたし	あたし	48a	9
歴史	れきし	3d7bc	f
政治	せいじ	3817a	f
びっくり	びっくり	758d	b
発生	はっせい	43b2e	f
胸	むね	49abe	b
楽しん	たのしん	3ca98	f
続ける	つづける	482b1	f
ビール	びーる	18480	f
全員	ぜんいん	250d4	f
気をつけ	きをつけ	3ded2	f
止め	とめ	3d2fe	f
書か	かか	3a15e	f
半分	はんぶん	28299	f
上がっ	あがっ	1ff31	f
高く	たかく	55bb5	f
ストレス	すとれす	124b7	9
メニュー	めにゅー	1c5f4	f
よし	よし	9194	f
にゃ	にゃ	65e8	9
見れ	みれ	4d0bd	f
服	ふく	3a7e9	f
際	さい	53a2f	f
お仕事	おしごと	19fd	f
しろ	しろ	409e	f
割	わり	27166	f
温泉	おんせん	4037c	f
化	ばけ	27afd	9
目標	もくひょう	44386	f
おかげ	おかげ	1422	b
希望	きぼう	32121	f
次回	じかい	3d119	f
とる	とる	5f4f	f
関し	かんし	531bb	f
話題	わだい	4df64	f
眠い	ねむい	44a6c	f
後ろ	うしろ	33bbd	f
上げ	あげ	1ff5a	f
夫	おっと	2e139	f
評価	ひょうか	4dd57	f
間違い	まちがい	5318b	f
勝手	かって	27928	b
コーヒー	こーひー	ffbc	f
ボール	ぼーる	1ae29	b
報告	ほうこく	2c495	f
変わら	かわら	2cb0f	f
それだけ	それだけ	4a4d	f
笑っ	わらっ	46de6	f
サッカー	さっかー	10522	f
教室	きょうしつ	3836a	f
おかえり	おかえり	141a	f
このまま	このまま	329d	f
やすく	やすく	8d88	f
すら	すら	4581	f
無く	なく	41267	f
身	み	4fbcc	f
クラス	くらす	e9d1	f
現場	げんば	42788	f
皆様	みなさま	4401f	f
慣れ	なれ	356c5	f
旅	たび	38f6a	f
降り	ふり	535f4	f
頑張り	がんばり	54ad4	f
凄い	すごい	25f24	b
海外	かいがい	3f8f1	f
耳	みみ	493e6	f
すっかり	すっかり	4471	f
首相	しゅしょう	55610	f
誕生日	たんじょうひ	4e051	0
役	やく	33a15	f
全国	ぜんこく	250de	f
おら	おら	194b	f
何故	なぜ	23a19	f
能力	のうりょく	49b20	b
入れる	いれる	24ed2	b
線	せん	48614	f
近所	きんじょ	503cd	f
決まっ	きまっ	3e7d9	f
試し	ためし	4ddb7	f
開け	あけ	52f7c	f
だめ	だめ	5096	b
新	しん	389c6	f
攻撃	こうげき	37feb	9
支援	しえん	37eb8	f
本人	ほんにん	3ad66	f
白	しろ	43c7f	f
げ	げ	2fb7	f
ふ	ふ	7617	f
エネルギー	えねるぎー	c020	f
せっかく	せっかく	47a0	f
呼ば	よば	2a7c7	f
アイコン	あいこん	96ab	f
相変わらず	あいかわらず	445d4	f
空気	くうき	464e0	f
安全	あんぜん	2f081	f
不足	ふそく	20926	9
死ぬ	しぬ	3d835	9
切っ	きっ	2660b	f
ランチ	らんち	1d898	f
モノ	もの	1c9bb	b
用意	ようい	43000	f
階	かい	539b6	f
終わる	おわる	47ca2	f
キロ	きろ	e347	f
様々	さまざま	3cbde	f
ころ	ころ	339a	f
ひと	ひと	7343	f
足り	たり	4f7e2	f
命	いのち	2a89c	f
初	はつ	268ee	f
女子	じょし	2e50b	f
被害	ひがい	4c6f5	9
我慢	がまん	35b2a	9
美しい	うつくしい	48cb3	b
会話	かいわ	23338	f
反応	はんのう	28e38	f
明らか	あきらか	3971b	f
変わり	かわり	2cb10	f
】	】	209	f
通っ	とおっ	50a98	f
日曜日	にちようひ	391ad	0
お母さん	おははさん	1bc0	0
消え	きえ	3fab9	f
いわ	いわ	d50	f
既に	すでに	39013	f
残り	のこり	3d8ef	f
出かけ	でかけ	260cc	f
感情	かんじょう	355be	b
お休み	おやすみ	1a09	f
責任	せきにん	4ed86	f
早速	さっそく	395c0	f
奴	やつ	2e5d8	b
レッスン	れっすん	1e567	f
京都	きょうと	22389	f
む	む	868f	b
計画	けいかく	4da41	f
たー	たー	4fa7	f
注文	ちゅうもん	3effb	f
ご紹介	ごしょうかい	36e2	f
魅力	みりょく	561d7	b
付い	つい	22ae6	f
使え	つかえ	23cda	f
方向	ほうこう	38edb	f
遅れ	おくれ	50f5c	f
聴い	きい	49654	f
飲む	のむ	55405	f
妻	つま	2e7ef	f
常	つね	322e1	f
サイズ	さいず	1032d	b
完成	かんせい	2f27f	f
無料	むりょう	41378	f
程	ほど	460fa	f
っけ	っけ	5366	f
患者	かんじゃ	34ffe	9
つき	つき	547f	f
期間	きかん	3a9cc	f
取り	とり	28f68	f
取れ	とれ	29197	f
職場	しょくば	496f4	f
メイン	めいん	1c3d8	b
掃除	そうじ	37338	f
面倒	めんどう	5476a	f
【	【	208	f
プロ	ぷろ	19d06	b
改善	かいぜん	37f1d	f
課題	かだい	4e36c	f
成功	せいこう	359f6	f
首	くび	555e0	b
新た	あらた	389df	f
厳しい	きびしい	28bd4	9
お友達	おともだち	1a6a	f
軽く	かるく	4ff47	f
楽しかっ	たのしかっ	3ca77	f
妹	いもうと	2e7d7	f
ご	ご	342e	f
歩く	あるく	3d6bd	f
昼	ひる	39b50	f
センター	せんたー	12f43	f
システム	しすてむ	10dcc	f
進ん	すすん	50e90	f
切れ	きれ	26770	f
バランス	ばらんす	1743c	f
川	かわ	3191d	f
映像	えいぞう	39966	f
価格	かかく	23df5	f
裏	うら	4c7d2	f
致し	いたし	4a366	b
当たり前	あたりまえ	337d6	f
型	かた	2c0cd	f
納得	なっとく	47898	f
管理	かんり	47133	f
生徒	せいと	42d49	f
いこう	いこう	9c8	f
位置	いち	2355e	f
町	まち	434e8	f
仕方ない	しかたない	229d4	b
売っ	うっ	2c999	f
改めて	あらためて	37f07	f
あんな	あんな	83d	b
まさに	まさに	8133	f
腰	こし	49e33	f
更に	さらに	3a12e	f
やろう	やろう	8f4e	9
行う	おこなう	4c319	f
いくら	いくら	9a6	f
立っ	たっ	4690c	f
寒	かん	2fdd6	f
一回	いちかい	1f41b	0
便利	べんり	23e3f	f
レース	れーす	1e791	b
土曜日	どようひ	2bbcd	0
遅く	おそく	50f4a	f
放送	ほうそう	380bc	f
腹	はら	49e9f	f
忙しい	いそがしい	3476c	f
選ん	えらん	515de	f
午前中	ごぜんちゅう	2825c	f
すい	すい	429c	f
変わる	かわる	2cb23	f
安定	あんてい	2f0ea	f
左	ひだり	31c0f	f
場	ば	2c4c6	f
右	みぎ	29972	f
住ん	すん	2365f	f
解決	かいけつ	4d788	f
たっぷり	たっぷり	4d97	f
め	め	8809	f
研究	けんきゅう	45287	f
運転	うんてん	51104	f
最終	さいしゅう	3a472	f
ライン	らいん	1d454	f
歩き	あるき	3d699	f
なさ	なさ	625e	f
繰り返し	くりかえし	48ae5	f
危険	きけん	288ea	9
赤	あか	4f324	f
種	しゅ	4619e	f
沖縄	おきなわ	3e90e	f
泣い	ない	3eebb	b
もらえ	もらえ	8c75	b
担当	たんとう	36a72	f
無駄	むだ	414e5	f
白い	しろい	43c8b	f
週末	しゅうまつ	50e69	f
おけ	おけ	14cc	f
回復	かいふく	2b5aa	f
お風呂	おふろ	1d6b	f
突然	とつぜん	466f5	f
優しい	やさしい	24877	f
一気	いっき	1f5f6	f
匹	ひき	27e8c	f
感想	かんそう	355c3	f
市	し	31f44	f
馬	うま	5571d	f
含め	ふくめ	2a3b0	f
症状	しょうじょう	43944	9
未来	みらい	3ac65	f
熱	ねつ	4194f	f
どうぞ	どうぞ	5fbf	f
生きる	いきる	42b9a	f
認め	みとめ	4dfd7	f
読む	よむ	4e2e5	f
テーマ	てーま	14a65	b
安い	やすい	2f012	f
減っ	へっ	40186	b
悩み	なやみ	35032	9
発言	はつげん	43b94	f
テンション	てんしょん	149e4	f
決定	けってい	3e820	f
聞こえ	きこえ	49608	f
以降	いこう	22d41	f
ごと	ごと	34a8	f
黒	くろ	56995	f
まるで	まるで	8383	f
世の中	よのなか	209f2	f
落ち着い	おちつい	4b676	f
あげる	あげる	39f	f
自信	じしん	4a08a	f
走り	はしり	4f522	f
く	く	2a12	8
漫画	まんが	40b26	f
気温	きおん	3dfe3	f
演奏	えんそう	40a91	f
困っ	こまっ	2b698	9
以来	いらい	22d3b	f
次第	しだい	3d13a	f
酒	さけ	51aab	f
集め	あつめ	53c78	f
開い	ひらい	52f5b	f
施設	しせつ	38f59	f
むしろ	むしろ	874d	f
末	すえ	3ace1	f
静か	しずか	54618	f
他人	たにん	22a4d	f
面	めん	5474e	f
舞台	ぶたい	4a4f3	f
検査	けんさ	3c86e	f
ねん	ねん	68a2	f
ぼく	ぼく	7f4a	f
差	さ	31d29	b
知識	ちしき	44eaf	f
日間	かかん	393e0	f
晴れ	はれ	39dac	f
文字	もじ	386e1	f
喜ん	よろこん	2afeb	f
スープ	すーぷ	12a96	f
営業	えいぎょう	2b166	f
モデル	もでる	1c971	f
通常	つうじょう	50b61	f
多かっ	おおかっ	2ceb5	f
公開	こうかい	255cc	f
微妙	びみょう	342d2	f
ケース	けーす	f5d8	f
並ん	ならん	20c29	f
べ	べ	7c77	f
実感	じっかん	2f609	f
チョコ	ちょこ	1419c	f
向かう	むかう	2a26e	f
本来	ほんらい	3ae84	f
比べ	くらべ	3db8d	f
どっち	どっち	6050	9
母親	ははおや	3db05	f
再び	ふたたび	25b5f	f
タイミング	たいみんぐ	134ab	f
はっきり	はっきり	6d4a	f
出発	しゅっぱつ	2634b	f
汗	あせ	3e570	9
終え	おえ	47c77	f
会い	あい	23268	f
データ	でーた	150a2	f
出会い	であい	26190	f
そもそも	そもそも	4a01	b
小学校	しょうがっこう	3060d	f
死	し	3d7ea	9
同様	どうよう	29fc1	f
会っ	かいっ	2327f	0
着い	つい	44b32	f
調査	ちょうさ	4e3e5	f
お茶	おちゃ	1ca5	f
分かる	わかる	264a3	f
聞か	きか	4951e	f
空い	むなしい	46436	9
決して	けっして	3e7d0	f
バイク	ばいく	1703a	f
画面	がめん	435bd	f
自ら	みずから	4a06f	f
加え	くわえ	273a5	f
持ち	もち	36cad	f
ついで	ついで	53d3	f
庭	にわ	32cbf	f
まとめ	まとめ	829f	b
ぅ	ぅ	d94	8
メッセージ	めっせーじ	1c548	f
後半	こうはん	33c1d	f
お世話	おせわ	19e8	f
雲	くも	5405d	f
クリーム	くりーむ	ebb7	f
表示	ひょうじ	4c60a	f
寒く	さむく	2fdeb	f
きちんと	きちんと	27ba	f
グループ	ぐるーぷ	f270	f
タイトル	たいとる	13463	f
いよいよ	いよいよ	cd4	f
直接	ちょくせつ	444ca	f
特別	とくべつ	41f0d	f
眺め	ながめ	44ace	f
アレ	あれ	a71b	b
肉	にく	49738	f
布団	ふとん	32097	f
記念	きねん	4db28	f
緊張	きんちょう	48412	9
駐車場	ちゅうしゃじょう	559c2	f
キレイ	きれい	e336	b
だいぶ	だいぶ	4fce	f
遠く	とおく	513a0	f
走る	はしる	4f57b	f
壁	かべ	2c8a6	f
お酒	おさけ	1d39	f
調整	ちょうせい	4e3c7	f
パワー	ぱわー	17b40	f
おかしい	おかしい	1428	9
北海道	ほっかいどう	27d62	f
くださっ	くださっ	2b5a	f
道路	どうろ	512e3	f
悩ん	なやん	35049	9
メーカー	めーかー	1c7c2	f
バカ	ばか	170d3	9
早め	はやめ	39500	f
倍	ばい	2437a	f
今夜	こんや	2275f	f
姿勢	しせい	2e92f	f
距離	きょり	4f8ac	f
まさか	まさか	8122	f
参考	さんこう	28c7f	f
仕方	しかた	229d0	f
限定	げんてい	536ba	f
窓	まど	46727	f
腕	うで	49ddd	f
小沢	おざわ	3087c	f
始める	はじめる	2e858	f
大き	おおき	2d17d	f
選択	せんたく	51609	f
表情	ひょうじょう	4c5e8	f
肩	かた	4988f	f
屋	や	30f09	f
ツイート	ついーと	143ea	f
受ける	うける	292ae	f
記録	きろく	4db64	f
連続	れんぞく	50e06	f
いきなり	いきなり	975	b
進め	すすめ	50e84	f
試験	しけん	4de1f	f
作ら	つくら	23ae8	f
カット	かっと	d1b0	9
座っ	すわっ	32c44	f
たん	たん	4f7a	f
確実	かくじつ	45455	f
福島	ふくしま	45bf3	f
楽し	たのし	3ca72	f
今月	こんげつ	227d1	f
湯	ゆ	4049b	f
組	くみ	47d09	f
集中	しゅうちゅう	53c88	f
のんびり	のんびり	6aae	f
だり	だり	50bb	f
待ち	まち	33af0	f
報道	ほうどう	2c4b5	f
一年	いちねん	1f4b3	f
すみ	すみ	454e	f
付き	つき	22aee	f
抜け	ぬけ	3671e	b
本気	ほんき	3aea3	f
バック	ばっく	1725c	f
いら	いら	cd8	f
大量	たいりょう	2dbfb	f
件	けん	22eaf	f
教育	きょういく	383b1	f
なくなっ	なくなっ	61e7	9
品	しな	2abba	f
地方	ちほう	2be2f	b
上手く	うまく	20145	f
ン	ん	1ef2d	8
ケア	けあ	f3ac	f
コレ	これ	fcd8	f
手術	しゅじゅつ	36091	9
コンビニ	こんびに	fe90	f
休憩	きゅうけい	23214	f
魚	さかな	5622f	f
指	ゆび	36df4	f
伸び	のび	2346e	f
第一	だいいち	46e89	f
日記	にっき	3938e	f
うれしい	うれしい	11a5	f
最も	もっとも	3a3bb	f
スタイル	すたいる	121a6	b
風景	ふうけい	54e4f	f
チーズ	ちーず	142de	f
美味しかっ	おいしかっ	48d2c	f
戻り	もどり	35d1e	f
星	ほし	398a2	f
指摘	してき	36e8f	b
お気に入り	おきにはいり	1bc8	0
シリーズ	しりーず	114b0	f
相当	そうとう	44608	f
ワン	わん	1ee33	f
震災	しんさい	542cc	9
見事	みごと	4d0eb	f
提供	ていきょう	3786b	f
スポーツ	すぽーつ	127e9	f
残し	のこし	3d8dd	f
年齢	ねんれい	327d9	b
対象	たいしょう	301b4	f
無かっ	なかっ	4125b	f
オレ	おれ	cc0c	b
甘い	あまい	42a6a	f
批判	ひはん	363c1	9
コ	こ	f80d	8
登録	とうろく	43c62	f
その人	そのひと	4999	f
その他	そのた	499a	f
関する	かんする	531be	f
検討	けんとう	3c8b5	f
一瞬	いっしゅん	1f674	f
時々	ときどき	39b91	f
戦争	せんそう	35b8c	9
新聞	しんぶん	38da8	f
たっ	たっ	4d87	f
始まる	はじまる	2e84c	f
マッサージ	まっさーじ	1b6ae	b
嘘	うそ	2b28d	9
そば	そば	49b0	b
色んな	いろんな	4a7cd	f
暑	しょ	39eaf	f
捨て	すて	37219	9
ひとり	ひとり	7381	f
国家	こっか	2b865	f
異常	いじょう	43770	9
ぃ	ぃ	865	8
整理	せいり	385c1	f
歌っ	うたっ	3d21e	f
数年	すうねん	3853e	f
低い	ひくい	23571	f
言える	いえる	4d980	f
周辺	しゅうへん	2a70f	f
将来	しょうらい	30374	f
建物	たてもの	32ef8	f
つか	つか	53f1	f
通し	とおし	50a77	f
社長	しゃちょう	456b8	f
ぇ	ぇ	120f	8
行い	おこない	4c318	f
痛く	いたく	4397b	9
どころ	どころ	6016	f
発売	はつばい	43acb	f
我々	われわれ	35ae7	f
クラブ	くらぶ	ea3a	f
昨夜	さくや	39aac	f
気づい	きづい	3de3d	f
強	きょう	33641	f
被災地	ひさいち	4c715	9
使える	つかえる	23cdf	f
いずれ	いずれ	a6e	b
認識	にんしき	4e017	f
ふと	ふと	77c4	f
思い出	おもいで	34a28	f
お花	おはな	1c9f	f
気にし	きにし	3de68	f
葉	は	4b757	f
遅い	おそい	50f41	b
働い	はたらい	247ba	f
ベース	べーす	1a42b	b
ノ	の	1669c	b
動物	どうぶつ	277be	f
がんばっ	がんばっ	26a6	f
願い	ねがい	54d30	f
値段	ねだん	24492	f
作成	さくせい	23b81	f
菅	かん	4b38a	b
追加	ついか	50683	f
リアル	りある	1d9ab	f
知る	しる	44dee	f
けっこう	けっこう	2eee	f
あっという間	あっというま	518	9
かかり	かかり	1e33	f
物語	ものがたり	41ec4	f
ス	す	11e33	8
戻る	もどる	35d29	f
例	れい	23d2d	f
実現	じつげん	2f657	f
卒業	そつぎょう	283a8	f
ごはん	ごはん	34b6	f
お客さん	おきゃくさん	1af8	f
名古屋	なごや	2a0b3	f
トップ	とっぷ	15299	f
撮り	とり	37cf3	f
弱い	よわい	3351b	b
述べ	のべ	50519	f
ショップ	しょっぷ	113dc	f
弟	おとうと	334a1	f
プレイ	ぷれい	19c61	b
反対	はんたい	28e13	f
つらい	つらい	5866	9
穴	あな	463ea	f
上手	じょうず	2013d	f
選挙	せんきょ	51617	f
借り	かり	243f4	f
荷物	にもつ	4b315	f
助け	たすけ	27571	f
とり	とり	5e20	f
かける	かける	1fb4	f
届い	とどい	30eeb	f
動い	うごい	27759	f
居る	いる	30e31	f
検索	けんさく	3c89d	f
お疲れ様	おつかれさま	1c17	f
目指し	めざし	4435e	f
なお	なお	6137	b
注目	ちゅうもく	3f00e	f
開発	かいはつ	53055	f
もらえる	もらえる	8c7a	9
協力	きょうりょく	283f5	f
深い	ぶかい	3fcfb	b
話す	はなす	4df42	f
ぷ	ぷ	7b7c	f
毎回	まいかい	3db1d	f
時点	じてん	39c27	f
鼻	はな	56bf5	f
文章	ぶんしょう	38790	f
太陽	たいよう	2e10e	f
きれ	きれ	2947	f
立場	たちば	469c4	f
お弁当	おべんとう	1b30	f
恋	こい	34cf7	b
お互い	おたがい	19f2	f
なるほど	なるほど	646f	f
雑誌	ざっし	53dbe	f
地球	ちきゅう	2bea4	f
うまい	うまい	10ab	f
週	しゅう	50e50	f
活躍	かつやく	3f368	f
かっこいい	かっこいい	21c2	b
必死	ひっし	345c3	b
ソフト	そふと	13209	f
立て	たて	46912	f
ツイッター	ついったー	143a5	f
飛ん	とん	5500f	f
サン	さん	1087e	b
条件	じょうけん	3b20d	f
日本語	にっぽんご	3928d	f
多	さわ	2ceaa	f
性格	せいかく	34c5c	f
敵	てき	385da	9
式	しき	33007	f
関連	かんれん	532b2	f
正しい	ただしい	3d339	f
逃げ	にげ	50820	9
いける	いける	9be	f
神社	じんじゃ	4599e	9
チャンス	ちゃんす	14060	f
主人公	しゅじんこう	213cf	f
行為	こうい	4c490	b
好み	このみ	2e62a	f
箱	ばこ	4717b	f
ばっかり	ばっかり	6fdf	f
勢い	いきおい	279ca	f
焼き	やき	41571	f
比較	ひかく	3dbf7	f
釣り	つり	52446	f
うどん	うどん	103c	f
食っ	しょくっ	5516e	f
もしか	もしか	8a2b	f
悲しい	かなしい	3512e	9
野球	やきゅう	51ffa	f
企画	きかく	22f35	f
背中	せなか	499dd	f
イケメン	いけめん	acd7	b
気に入っ	きにはいっ	3de8c	0
体力	たいりょく	2391e	f
サロン	さろん	1084a	b
取る	とる	29196	f
石	いし	44f5a	f
森	もり	3c616	f
優勝	ゆうしょう	248a8	f
乗り	のり	2167b	f
景色	けしき	39d8b	f
わかん	わかん	94a8	f
最大	さいだい	3a40a	f
復活	ふっかつ	34291	f
シンプル	しんぷる	11612	f
地	ち	2bd4c	f
諦め	あきらめ	4e540	9
連休	れんきゅう	50d6e	f
議員	ぎいん	4e7fd	f
落とし	おとし	4b6aa	f
泣き	なき	3eec9	f
カラオケ	からおけ	d4d3	f
文化	ぶんか	38691	f
電気	でんき	541b8	f
かぁ	かぁ	1d87	b
体重	たいじゅう	23984	b
当日	とうじつ	33886	f
挑戦	ちょうせん	36edd	f
価値	かち	23def	f
緑	みどり	4858e	f
趣味	しゅみ	4f7b3	f
クリア	くりあ	ea9b	f
アイス	あいす	96d8	f
馬鹿	ばか	557fb	9
ゆう	ゆう	8f89	f
組織	そしき	47de2	f
有り	あり	3a5e8	f
戦い	たたかい	35b6a	9
古い	ふるい	29536	f
具合	ぐあい	257fb	f
日常	にちじょう	39160	f
困る	こまる	2b6a9	9
設置	せっち	4dc04	f
米	べい	47379	f
事務所	じむしょ	21b79	f
ひ	ひ	70c5	9
重い	おもい	51d19	f
ひどい	ひどい	73c6	9
向かい	むかい	2a258	f
そのもの	そのもの	4997	f
録画	ろくが	52947	f
米国	べいこく	473b9	f
数日	すうじつ	38547	f
ベッド	べっど	1a1b6	f
休日	きゅうじつ	23220	f
いただく	いただく	ab3	f
お天気	おてんき	1abc	f
男子	だんし	43472	f
特徴	とくちょう	41f82	f
処理	しょり	26041	f
ただいま	ただいま	4ceb	f
バンド	ばんど	175dc	b
出来事	できごと	262bc	f
イイ	いい	ab49	f
インターネット	いんたーねっと	b26e	f
つける	つける	55db	f
つく	つく	553f	f
待つ	まつ	33b41	f
コーナー	こーなー	ffab	f
小説	しょうせつ	30a2f	f
おれ	おれ	1975	f
例えば	たとえば	23d2f	f
おなか	おなか	177f	b
ついに	ついに	53d7	f
横浜	よこはま	3cdd6	f
会議	かいぎ	23348	f
一言	ひとこと	1f746	f
適当	てきとう	51506	f
揺れ	ゆれ	379ef	f
おじさん	おじさん	15d9	f
暮らし	くらし	39fc1	f
小学生	しょうがくせい	30610	f
アドバイス	あどばいす	9ef4	f
現状	げんじょう	427b1	f
市場	しじょう	31f89	f
脳	のう	49d1f	9
カップ	かっぷ	d1c4	f
自己	じこ	4a122	f
前日	ぜんじつ	26f0b	f
ぱ	ぱ	7072	9
苦労	くろう	4adde	9
てん	てん	5a3b	f
階段	かいだん	539c9	f
負担	ふたん	4ec22	9
示し	しめし	45588	f
お土産	おみやげ	1aa7	f
ミス	みす	1bd52	9
あい	あい	220	f
お肌	おはだ	1c8b	b
主張	しゅちょう	21420	f
掲載	けいさい	3771c	f
素直	すなお	47a76	f
悪	わる	3504c	9
オススメ	おすすめ	c762	f
工事	こうじ	31b70	f
たび	たび	4e55	f
出さ	ださ	260e3	f
訪れ	おとずれ	4dba8	f
ょ	ょ	910d	f
秒	びょう	45f8d	f
ステージ	すてーじ	123fd	f
ご覧	ごらん	3715	f
若干	じゃっかん	4acdc	f
起こし	おこし	4f5f4	f
ゆ	ゆ	8f86	8
集まっ	あつまっ	53c69	f
おそらく	おそらく	1614	b
億	おく	2483a	f
サラダ	さらだ	10792	f
安く	やすく	2f01b	f
紙	かみ	47963	f
詳しく	くわしく	4df7a	f
かい	かい	1d8d	f
もと	もと	8b3e	f
間違え	まちがえ	53194	f
鳥	とり	5639c	f
筋肉	きんにく	47001	f
カフェ	かふぇ	d343	f
いかに	いかに	91a	b
未だ	いまだ	3ac04	f
ギター	ぎたー	e494	f
へん	へん	7c5e	f
杯	さかずき	3b2f0	f
ベスト	べすと	1a13e	f
制度	せいど	26c9c	f
お菓子	おかし	1cb9	f
多少	たしょう	2cf25	f
規制	きせい	4d378	f
何より	なんより	239d3	0
進む	すすむ	50e83	f
人達	ひとたち	225f6	f
挨拶	あいさつ	36f36	f
畑	はたけ	435f4	f
赤ちゃん	あかちゃん	4f33d	f
駄目	だめ	5587d	b
くさい	くさい	2a96	9
ゅ	ゅ	8f85	8
短い	みじかい	44ed2	b
イ	い	ab29	b
アルバム	あるばむ	a65b	f
やる気	やるき	8f40	b
橋	はし	3cedf	f
ワイン	わいん	1ec8a	f
午前	ごぜん	2825b	f
段階	だんかい	3da15	f
反省	はんせい	28e71	9
驚き	おどろき	55af8	f
製品	せいひん	4c97f	f
島	しま	3174c	f
指導	しどう	36e5a	f
幼稚園	ようちえん	32910	f
過ぎる	すぎる	51148	f
起きる	おきる	4f5cd	f
トマト	とまと	15352	f
見た目	みため	4d009	b
まくっ	まくっ	80e0	b
なれる	なれる	6481	f
迷惑	めいわく	5055e	9
否定	ひてい	2a391	9
ぽ	ぽ	7fbe	9
超え	こえ	4f679	f
翌日	よくじつ	4913b	f
医療	いりょう	27f0d	f
できれ	できれ	5aa9	f
確保	かくほ	4543e	f
代わり	かわり	22c62	f
疑問	ぎもん	43867	9
約束	やくそく	477bf	f
場面	ばめん	2c4e6	f
迷っ	まよっ	50547	9
考え方	かんがえかた	49319	f
少々	しょうしょう	30b69	f
ペース	ぺーす	1a6aa	f
寝よう	ねよう	2ff0a	b
入ら	はいら	24e74	f
もともと	もともと	8b54	f
お待ち	おまち	1b3d	f
触れ	ふれ	4d7df	b
ゴール	ごーる	102a2	f
パターン	ぱたーん	1786c	f
間違っ	まちがっ	5319d	f
乗る	のる	21753	f
小さく	ちいさく	30451	b
機	き	3cf7d	f
ツアー	つあー	1435e	f
寂しい	さびしい	2fb3f	9
周囲	しゅうい	2a6cf	f
同	どう	29ec5	f
私達	わたくしたち	45e06	0
やや	やや	8ea4	f
すき	すき	4309	f
放置	ほうち	380ae	9
マンション	まんしょん	1bb1d	f
モード	もーど	1cc36	f
呼ん	よん	2a871	f
ド	ど	15762	8
全	ぜん	2506e	f
咲き	さき	2aaef	f
回っ	まわっ	2b555	f
ざる	ざる	3b9c	f
火	ひ	40ed3	f
歯	は	3d732	f
笑い	わらい	46d89	f
二つ	ふたつ	21c02	f
平和	へいわ	3250f	f
いただけ	いただけ	ab4	f
掛け	かけ	3746e	f
チケット	ちけっと	13e85	f
丁寧	ていねい	1f7fc	f
気味	きみ	3df7b	b
フランス	ふらんす	190c8	f
模様	もよう	3cc9e	f
付近	ふきん	22bec	f
波	なみ	3ee34	f
懐かしい	なつかしい	358c0	f
充実	じゅうじつ	24add	f
かん	かん	24ed	f
塩	しお	2c60e	f
マン	まん	1baf0	f
乾燥	かんそう	219dd	f
育て	そだて	498fe	f
やろ	やろ	8f4d	f
がち	がち	25f2	b
うーん	うーん	1208	9
ただし	ただし	4ced	f
食べ物	たべもの	551b5	f
中身	なかみ	21177	f
働き	はたらき	247c5	f
ビックリ	びっくり	18212	b
赤い	あかい	4f32a	f
勇気	ゆうき	2772d	f
だー	だー	50ec	f
方面	ほうめん	38f16	f
靴	くつ	54824	f
美味しく	おいしく	48d2f	f
夕食	ゆうしょく	2ccc8	f
実施	じっし	2f61a	f
刺激	しげき	26d56	9
一時	いちじ	1f560	f
事業	じぎょう	21bc1	f
幸い	さいわい	327e9	f
政策	せいさく	381b7	f
そうそう	そうそう	48b9	f
卵	たまご	2895b	f
事情	じじょう	21ba3	f
そのうち	そのうち	4993	f
押し	おし	36892	f
平日	へいじつ	325e6	f
紅葉	こうよう	4781b	f
ありがたい	ありがたい	773	f
自分自身	じぶんじしん	4a0ac	f
